CustomerKey,Fullname,BirthDate,Marital Status,Gender,DateFirstPurchase,CustomerType,Continent,Country,Province
40,Marc J Martin,1948-12-17,Married,Male,2001-08-10,Person,Asia,Australia,New South Wales
41,Jesse Murphy,1977-08-01,Married,Male,2003-10-05,Person,North America,United States,Washington
42,Amanda M Carter,1977-10-16,Married,FEMALE,2003-07-18,Person,North America,United States,California
43,Megan J Sanchez,1977-06-13,Married,FEMALE,2003-07-25,Person,North America,United States,California
44,Nathan M Simmons,1976-02-24,Married,Male,2003-11-09,Person,North America,United States,California
45,Adam L Flores,1949-05-24,Married,Male,2001-08-31,Person,Asia,Australia,Queensland
46,Leonard G Nara,1950-05-19,Single,Male,2003-10-12,Person,Asia,Australia,New South Wales
47,Christine Yuan,1950-03-22,Married,FEMALE,2001-08-09,Person,Asia,Australia,New South Wales
48,Jaclyn D Lu,1950-02-27,Married,FEMALE,2001-08-06,Person,Asia,Australia,Victoria
49,Jeremy Powell,1950-11-22,Married,Male,2001-08-13,Person,Asia,Australia,Victoria
50,Carol C Rai,1980-07-18,Single,FEMALE,2003-09-10,Person,North America,United States,California
51,Alan Zheng,1951-09-07,Married,Male,2001-08-23,Person,Asia,Australia,Tasmania
52,Daniel Johnson,1951-08-04,Single,Male,2004-07-01,Person,Asia,Australia,Queensland
53,Heidi Lopez,1951-08-07,Single,FEMALE,2001-08-20,Person,Asia,Australia,New South Wales
54,Ana E Price,1980-08-20,Married,FEMALE,2003-07-21,Person,North America,United States,California
55,Deanna Munoz,1952-03-10,Married,FEMALE,2001-08-06,Person,Asia,Australia,Victoria
56,Gilbert Raje,1952-03-05,Married,Male,2001-08-03,Person,Asia,Australia,Queensland
57,Michele L Nath,1953-04-03,Married,FEMALE,2001-08-29,Person,Asia,Australia,New South Wales
58,Carl J Andersen,1953-10-12,Married,Male,2001-08-25,Person,Asia,Australia,New South Wales
59,Marc Diaz,1954-04-27,Married,Male,2001-09-09,Person,Asia,Australia,South Australia
60,Ashlee J Andersen,1954-04-01,Single,FEMALE,2003-08-22,Person,Asia,Australia,Queensland
61,Jon L Zhou,1954-03-17,Married,Male,2001-09-19,Person,Asia,Australia,Victoria
62,Todd M Gao,1954-02-27,Married,Male,2001-09-13,Person,Asia,Australia,Queensland
63,Noah D Powell,1975-09-02,Married,Male,2003-07-11,Person,North America,United States,Oregon
64,Angela Murphy,1975-04-07,Single,FEMALE,2003-07-16,Person,North America,United States,Washington
65,Chase Reed,1975-12-07,Married,Male,2003-07-29,Person,North America,United States,California
66,Jessica Henderson,1973-10-09,Married,FEMALE,2003-08-14,Person,North America,United States,California
67,Grace T Butler,1973-11-27,Married,FEMALE,2003-12-02,Person,North America,United States,Oregon
68,Caleb F Carter,1976-09-25,Single,Male,2004-02-19,Person,North America,United States,Washington
69,Tiffany Liang,1955-09-23,Single,FEMALE,2003-11-01,Person,Asia,Australia,Victoria
70,Carolyn Navarro,1955-09-21,Single,FEMALE,2001-10-18,Person,Asia,Australia,Queensland
71,Willie T Raji,1955-04-05,Married,Male,2001-10-29,Person,Asia,Australia,Victoria
72,Linda Serrano,1955-06-26,Single,FEMALE,2003-09-02,Person,Asia,Australia,Queensland
73,Casey Luo,1955-02-06,Single,FEMALE,2001-10-01,Person,Asia,Australia,New South Wales
74,Amy Ye,1956-08-14,Single,FEMALE,2003-09-24,Person,Asia,Australia,New South Wales
75,Levi A Arun,1956-08-28,Single,Male,2003-09-24,Person,Asia,Australia,South Australia
76,Felicia L Jimenez,1957-11-16,Single,FEMALE,2001-10-29,Person,Asia,Australia,Victoria
77,Blake Anderson,1957-07-13,Single,Male,2001-10-22,Person,Asia,Australia,New South Wales
78,Leah Ye,1957-09-19,Single,FEMALE,2001-10-16,Person,Asia,Australia,Victoria
79,Gina E Martin,1974-01-10,Single,FEMALE,2003-08-19,Person,North America,Canada,British Columbia
80,Donald Gonzalez,1959-03-11,Single,Male,2003-09-16,Person,Asia,Australia,Victoria
81,Damien Chander,1959-07-17,Married,Male,2001-10-11,Person,Asia,Australia,South Australia
82,Savannah C Baker,1966-07-24,Married,FEMALE,2003-08-16,Person,North America,United States,California
83,Angela L Butler,1966-08-04,Single,FEMALE,2003-07-26,Person,North America,United States,California
84,Alyssa F Cox,1966-03-15,Married,FEMALE,2003-07-10,Person,North America,United States,California
85,Lucas Phillips,1957-09-12,Single,Male,2003-07-08,Person,North America,United States,Oregon
86,Emily Johnson,1957-07-19,Single,FEMALE,2004-06-08,Person,North America,United States,California
87,Ryan Brown,1957-12-23,Married,Male,2004-01-03,Person,North America,United States,California
88,Tamara L Liang,1957-10-03,Married,FEMALE,2003-08-29,Person,North America,United States,California
89,Hunter Davis,1957-11-25,Married,Male,2003-07-17,Person,North America,United States,California
90,Abigail M Price,1957-02-05,Single,FEMALE,2003-07-02,Person,North America,United States,California
91,Trevor Bryant,1957-12-17,Single,Male,2002-02-07,Person,North America,United States,California
92,Dalton Perez,1957-04-04,Married,Male,2003-08-02,Person,North America,Canada,British Columbia
93,Cheryl A Diaz,1967-05-06,Married,FEMALE,2001-10-09,Person,Asia,Australia,Queensland
94,Aimee A He,1967-09-10,Married,FEMALE,2001-10-08,Person,Asia,Australia,New South Wales
95,Cedric W Ma,1962-04-01,Single,Male,2003-10-09,Person,Asia,Australia,Victoria
96,Chad Kumar,1962-09-01,Single,Male,2001-10-02,Person,Asia,Australia,New South Wales
97,Andrés Anand,1962-08-10,Married,Male,2001-10-12,Person,Asia,Australia,New South Wales
98,Edwin R Nara,1961-10-27,Married,Male,2001-10-05,Person,Asia,Australia,Victoria
99,Mallory S Rubio,1961-05-01,Single,FEMALE,2003-08-15,Person,Asia,Australia,New South Wales
100,Adam Ross,1961-03-08,Married,Male,2001-10-08,Person,Asia,Australia,New South Wales
101,Latasha L Navarro,1960-09-15,Single,FEMALE,2001-10-17,Person,Asia,Australia,South Australia
102,Abby L Sai,1965-05-08,Single,FEMALE,2001-10-30,Person,Asia,Australia,Victoria
103,Julia L Nelson,1965-04-21,Single,FEMALE,2004-01-17,Person,Asia,Australia,New South Wales
104,Cassie Chande,1964-10-17,Single,FEMALE,2001-10-16,Person,Asia,Australia,New South Wales
105,Edgar A Sara,1964-03-11,Married,Male,2001-11-04,Person,Asia,Australia,Queensland
106,Candace Fernandez,1964-12-28,Single,FEMALE,2001-11-14,Person,Asia,Australia,New South Wales
107,Jessie Liu,1964-09-11,Single,Male,2001-11-18,Person,Asia,Australia,Victoria
108,Bianca Lin,1959-09-09,Married,FEMALE,2001-11-01,Person,Asia,Australia,New South Wales
109,Kari C Alvarez,1963-07-14,Single,FEMALE,2001-11-03,Person,Asia,Australia,New South Wales
110,Ruben D Kapoor,1963-11-05,Single,Male,2001-11-10,Person,Asia,Australia,Victoria
111,Curtis Yang,1962-06-06,Married,Male,2001-11-01,Person,Asia,Australia,New South Wales
112,Meredith T Gutierrez,1962-02-23,Married,FEMALE,2001-11-20,Person,Asia,Australia,Victoria
113,Crystal C Wang,1962-09-09,Married,FEMALE,2001-11-25,Person,Asia,Australia,Queensland
114,Micheal A Blanco,1962-02-21,Married,Male,2003-08-05,Person,Asia,Australia,South Australia
115,Leslie C Moreno,1962-05-28,Single,FEMALE,2003-09-19,Person,Asia,Australia,New South Wales
116,Alvin D Cai,1962-02-12,Married,Male,2003-08-14,Person,Asia,Australia,New South Wales
117,Clinton E Carlson,1962-10-07,Married,Male,2003-09-16,Person,Asia,Australia,New South Wales
118,April Deng,1961-02-21,Married,FEMALE,2001-11-06,Person,Asia,Australia,New South Wales
119,Alvin M Zeng,1957-07-03,Single,Male,2004-01-11,Person,Asia,Australia,New South Wales
120,Evan V James,1935-04-10,Single,Male,2003-08-07,Person,Asia,Australia,New South Wales
121,Beth H Jiménez,1936-08-09,Single,FEMALE,2001-11-14,Person,Asia,Australia,New South Wales
122,Orlando Suarez,1960-11-18,Married,Male,2003-12-26,Person,Asia,Australia,New South Wales
123,Byron Vazquez,1960-04-02,Married,Male,2003-08-25,Person,Asia,Australia,New South Wales
124,Philip A Alvarez,1960-06-20,Married,Male,2003-10-19,Person,Asia,Australia,Victoria
125,Ross F Jordan,1957-07-27,Single,Male,2001-11-05,Person,Asia,Australia,Victoria
126,Dana J Navarro,1956-04-08,Single,FEMALE,2003-08-04,Person,Asia,Australia,Victoria
127,Shaun Carson,1949-04-07,Married,Male,2001-11-28,Person,Asia,Australia,New South Wales
128,Jan Edwards,1975-10-21,Married,FEMALE,2003-10-12,Person,North America,United States,California
129,Samantha Long,1975-12-05,Married,FEMALE,2003-12-21,Person,North America,United States,Washington
130,Julia M Wright,1975-08-05,Single,FEMALE,2002-02-06,Person,North America,United States,Washington
131,Caroline L Russell,1980-01-06,Married,FEMALE,2004-06-11,Person,North America,United States,Oregon
132,Amanda Rivera,1980-03-12,Married,FEMALE,2004-04-20,Person,North America,Canada,British Columbia
133,Melissa E Richardson,1980-10-26,Single,FEMALE,2003-10-11,Person,North America,Canada,British Columbia
134,Angela Griffin,1980-09-08,Single,FEMALE,2004-07-02,Person,North America,United States,Oregon
135,Larry D Townsend,1946-02-26,Single,Male,2001-11-03,Person,Asia,Australia,South Australia
136,Marcus L Harris,1979-11-03,Single,Male,2003-10-20,Person,North America,United States,California
137,Brianna D Morgan,1978-10-26,Single,FEMALE,2003-07-07,Person,North America,Canada,British Columbia
138,Jasmine A Taylor,1978-07-20,Married,FEMALE,2004-02-01,Person,North America,United States,Washington
139,Lauren Davis,1978-09-15,Married,FEMALE,2004-03-22,Person,North America,United States,California
140,Tanya Moreno,1938-11-09,Single,FEMALE,2004-03-17,Person,Asia,Australia,South Australia
141,Javier L Alvarez,1977-02-11,Single,Male,2003-09-20,Person,North America,United States,California
142,Nicole Ramirez,1977-06-21,Married,FEMALE,2003-11-17,Person,North America,United States,California
143,Eduardo Patterson,1977-08-14,Single,Male,2003-08-17,Person,North America,Canada,British Columbia
144,Jonathan M Henderson,1977-02-04,Married,Male,2003-12-17,Person,North America,United States,California
145,Edward Hernandez,1979-09-09,Single,Male,2003-07-29,Person,North America,United States,Washington
146,Jasmine L Coleman,1979-12-08,Single,FEMALE,2003-07-29,Person,North America,United States,Oregon
147,Karla L Goel,1939-08-26,Single,FEMALE,2003-08-09,Person,Asia,Australia,New South Wales
148,Ernest L Wu,1939-02-05,Married,Male,2001-11-13,Person,Asia,Australia,Victoria
149,Ross Vazquez,1941-08-16,Married,Male,2003-09-08,Person,Asia,Australia,Queensland
150,Theodore Gill,1941-04-20,Married,Male,2003-12-06,Person,Asia,Australia,Queensland
151,Russell M Shen,1941-03-15,Single,Male,2003-09-28,Person,Asia,Australia,Victoria
152,Melinda G Gill,1942-02-25,Single,FEMALE,2001-11-15,Person,Asia,Australia,New South Wales
153,James J Williams,1976-01-10,Single,Male,2003-07-13,Person,North America,United States,Washington
154,Angela R James,1976-06-23,Married,FEMALE,2003-09-30,Person,North America,United States,Washington
155,Megan G Walker,1976-08-21,Single,FEMALE,2003-07-14,Person,North America,United States,Oregon
156,Hunter J Robinson,1976-01-26,Single,Male,2003-07-10,Person,North America,United States,California
157,Maria Roberts,1976-02-07,Single,FEMALE,2003-07-12,Person,North America,United States,California
158,Hannah E Long,1975-06-11,Married,FEMALE,2004-01-25,Person,North America,United States,Washington
159,Jason K Wright,1975-10-08,Single,Male,2003-07-23,Person,North America,United States,California
160,Brianna A Hughes,1975-09-17,Single,FEMALE,2004-03-11,Person,North America,United States,California
161,Maurice M Tang,1974-01-08,Single,Male,2003-08-25,Person,North America,United States,California
162,Emily Wood,1974-04-22,Single,FEMALE,2003-12-03,Person,North America,United States,California
163,Chase Cox,1974-03-05,Single,Male,2003-08-22,Person,North America,United States,California
164,Gabriel Wang,1974-12-20,Married,Male,2003-11-02,Person,North America,United States,California
165,Devin Brooks,1974-05-05,Single,Male,2003-10-29,Person,North America,United States,California
166,Jocelyn Alexander,1973-07-18,Married,FEMALE,2003-11-26,Person,North America,United States,California
167,Ashley Martinez,1972-04-24,Single,FEMALE,2004-04-16,Person,North America,United States,Washington
168,Jasmine J Barnes,1972-08-01,Single,FEMALE,2003-07-11,Person,North America,United States,Washington
169,David Rodriguez,1968-05-15,Single,Male,2003-07-19,Person,North America,United States,California
170,Bryce Richardson,1968-06-22,Married,Male,2003-11-27,Person,North America,United States,California
171,Carol T Howard,1968-02-05,Married,FEMALE,2004-02-27,Person,North America,United States,Washington
172,Jonathan E Hill,1967-10-09,Single,Male,2002-02-20,Person,North America,United States,California
173,Gabrielle J Adams,1967-11-21,Married,FEMALE,2003-11-04,Person,North America,United States,Washington
174,Sarah F Thomas,1967-09-01,Single,FEMALE,2003-09-03,Person,North America,United States,Oregon
175,Nicholas Robinson,1967-07-13,Married,Male,2004-01-14,Person,North America,United States,California
176,Luis Wang,1963-03-05,Single,Male,2002-02-28,Person,North America,United States,California
177,Mason D Roberts,1968-01-25,Married,Male,2003-08-06,Person,North America,Canada,British Columbia
178,Jose M Flores,1942-07-04,Married,Male,2003-09-30,Person,North America,United States,California
179,Nathan J Johnson,1943-08-24,Married,Male,2003-08-25,Person,North America,United States,California
180,Molly E Rodriguez,1943-06-14,Married,FEMALE,2003-09-13,Person,North America,United States,California
181,April Anand,1943-01-02,Married,FEMALE,2003-09-18,Person,North America,United States,California
182,Devin P Martin,1943-08-08,Married,Male,2003-11-08,Person,North America,United States,California
183,Stephanie Torres,1944-08-25,Single,FEMALE,2004-02-29,Person,North America,United States,Washington
184,Jasmine W Lee,1944-07-15,Single,FEMALE,2003-11-01,Person,North America,United States,California
185,Meghan Hernandez,1944-11-16,Single,FEMALE,2004-02-11,Person,North America,United States,California
186,Ashley Henderson,1944-10-08,Single,FEMALE,2003-08-25,Person,North America,Canada,British Columbia
187,Sarah C Price,1944-05-21,Single,FEMALE,2004-04-20,Person,North America,United States,California
188,Jennifer S Cooper,1944-02-22,Married,FEMALE,2003-10-05,Person,North America,United States,Washington
189,Catherine Morris,1944-09-06,Married,FEMALE,2004-05-04,Person,North America,United States,California
190,Lawrence W Blanco,1944-07-15,Single,Male,2002-02-26,Person,North America,United States,Washington
191,Carson Bryant,1944-06-22,Married,Male,2004-02-29,Person,North America,United States,California
192,Kristi E Perez,1945-12-18,Single,FEMALE,2002-02-11,Person,North America,United States,California
193,James C Brown,1945-09-13,Married,Male,2003-12-25,Person,North America,United States,Washington
194,Ian A Gray,1945-02-13,Married,Male,2003-08-29,Person,North America,United States,Oregon
195,Jacqueline R Price,1945-06-10,Married,FEMALE,2003-09-14,Person,North America,United States,California
196,Megan Henderson,1946-02-10,Married,FEMALE,2003-10-16,Person,North America,United States,Washington
197,Alfredo Romero,1946-06-07,Married,Male,2003-09-04,Person,North America,United States,Oregon
198,Andrea Morris,1946-06-18,Married,FEMALE,2003-11-03,Person,North America,United States,Washington
199,Brooke Sanders,1946-11-26,Single,FEMALE,2003-08-09,Person,North America,United States,California
200,Jacqueline Bennett,1946-11-06,Married,FEMALE,2003-09-19,Person,North America,United States,California
201,Jason L Griffin,1947-11-22,Married,Male,2003-08-11,Person,North America,Canada,British Columbia
202,Amanda Foster,1947-08-18,Married,FEMALE,2004-01-02,Person,North America,United States,California
203,Alexia L Price,1947-08-26,Married,FEMALE,2004-03-18,Person,North America,United States,California
204,Luis D Diaz,1948-08-21,Married,Male,2003-08-24,Person,North America,Canada,British Columbia
205,Destiny C Rivera,1948-06-01,Married,FEMALE,2004-02-10,Person,North America,United States,Oregon
206,Abby Fernandez,1948-07-24,Married,FEMALE,2004-01-28,Person,North America,United States,Washington
207,Blake Flores,1948-09-24,Married,Male,2003-11-12,Person,North America,United States,Washington
208,Danielle Cox,1948-07-19,Single,FEMALE,2003-08-04,Person,North America,United States,Washington
209,Maria Reed,1948-02-04,Married,FEMALE,2003-09-05,Person,North America,United States,California
210,Allison Evans,1948-01-13,Married,FEMALE,2003-09-26,Person,North America,United States,California
211,Edward J Wood,1948-06-08,Married,Male,2003-11-07,Person,North America,United States,California
212,Samantha Russell,1949-10-12,Married,FEMALE,2003-08-05,Person,North America,Canada,British Columbia
213,Chloe Campbell,1949-11-05,Married,FEMALE,2003-08-03,Person,North America,Canada,British Columbia
214,Stephanie B Murphy,1949-05-14,Single,FEMALE,2003-09-29,Person,North America,United States,Washington
215,Charles O Miller,1949-11-07,Single,Male,2004-02-15,Person,North America,United States,Oregon
216,Ana Perry,1950-06-21,Married,FEMALE,2003-08-19,Person,North America,Canada,British Columbia
217,Jasmine A Torres,1950-05-20,Single,FEMALE,2002-02-15,Person,North America,United States,Oregon
218,Natalie P Adams,1950-02-11,Single,FEMALE,2002-02-10,Person,North America,United States,Oregon
219,Olivia Brown,1950-09-11,Single,FEMALE,2003-09-01,Person,North America,United States,Washington
220,Charles Cook,1950-12-02,Married,Male,2004-05-01,Person,North America,United States,Oregon
221,Erica C Huang,1950-02-23,Married,FEMALE,2003-09-15,Person,North America,United States,California
222,Nathan Perry,1950-06-10,Married,Male,2003-10-09,Person,North America,United States,California
223,Alexandra Rivera,1950-08-17,Married,FEMALE,2004-05-04,Person,North America,United States,California
224,Hailey I Patterson,1951-09-16,Single,FEMALE,2003-08-02,Person,North America,Canada,British Columbia
225,Tiffany J Li,1951-09-06,Single,FEMALE,2002-02-07,Person,North America,United States,Washington
226,Madison D Lee,1951-02-16,Married,FEMALE,2003-12-24,Person,North America,United States,Washington
227,Sydney T Ross,1951-09-27,Married,FEMALE,2003-08-25,Person,North America,United States,Oregon
228,Marshall D Chavez,1951-08-12,Single,Male,2002-02-03,Person,North America,United States,California
229,Ashley R Jones,1951-04-19,Married,FEMALE,2004-04-27,Person,North America,United States,California
230,Adrian C Stewart,1951-12-03,Single,Male,2004-01-28,Person,North America,United States,California
231,Amber Turner,1951-04-03,Married,FEMALE,2004-01-17,Person,North America,United States,California
232,Dennis Zhang,1952-11-14,Married,Male,2003-08-14,Person,North America,United States,Washington
233,Hailey R Bryant,1952-09-27,Married,FEMALE,2004-03-23,Person,North America,United States,Washington
234,Todd Li,1952-09-09,Married,Male,2003-08-12,Person,North America,United States,California
235,Anna Griffin,1952-11-19,Single,FEMALE,2003-08-12,Person,North America,United States,California
236,Angel J Stewart,1952-02-08,Married,Male,2004-01-05,Person,North America,United States,Washington
237,Jeremy Butler,1952-03-05,Single,Male,2004-04-05,Person,North America,United States,Washington
238,Clarence M Anand,1958-09-23,Single,Male,2002-03-08,Person,Europe,Germany,North Rhine-Westphalia
239,Mayra Prasad,1958-08-10,Single,FEMALE,2001-07-09,Person,Europe,United Kingdom,England
240,Latoya C Goel,1958-10-06,Married,FEMALE,2001-07-22,Person,Europe,United Kingdom,England
241,Anne B Hernandez,1958-12-11,Married,FEMALE,2001-08-30,Person,Europe,United Kingdom,England
242,Lisa Cai,1957-10-11,Single,FEMALE,2003-03-14,Person,Europe,France,Essonne
243,Larry Munoz,1957-11-11,Married,Male,2003-03-23,Person,Europe,France,Yveline
244,Robin V Alvarez,1957-10-09,Married,FEMALE,2001-08-24,Person,Europe,United Kingdom,England
245,Alexis M Coleman,1957-11-26,Single,FEMALE,2001-08-15,Person,Europe,United Kingdom,England
246,Ricky D Vazquez,1956-10-27,Married,Male,2002-03-29,Person,Europe,Germany,Hamburg
247,Latasha Rubio,1956-10-09,Married,FEMALE,2002-04-05,Person,Europe,Germany,Hamburg
248,Claudia M Zhou,1956-06-06,Single,FEMALE,2001-08-21,Person,Europe,United Kingdom,England
249,Tristan P Alexander,1955-03-26,Married,Male,2004-01-15,Person,Europe,France,Seine Saint Denis
250,Cindy A Patel,1955-07-13,Married,FEMALE,2002-04-11,Person,Europe,Germany,Saar
251,Shannon D Liu,1955-03-12,Married,FEMALE,2001-09-17,Person,Europe,United Kingdom,England
252,Xavier Long,1932-07-04,Single,Male,2004-04-20,Person,North America,Canada,British Columbia
253,Nicholas D Thompson,1932-06-07,Single,Male,2002-02-14,Person,North America,United States,California
254,José M Hernandez,1933-02-28,Married,Male,2003-09-02,Person,North America,Canada,British Columbia
255,Johnathan W Vance,1933-03-03,Married,Male,2004-05-26,Person,North America,United States,Washington
256,Colin Lin,1933-04-04,Married,Male,2003-08-27,Person,North America,United States,Washington
257,Katelyn L Hernandez,1933-09-20,Married,FEMALE,2003-10-17,Person,North America,United States,Washington
258,Jacqueline Powell,1933-01-06,Single,FEMALE,2002-02-24,Person,North America,United States,California
259,Xavier Hill,1933-06-28,Married,Male,2003-11-22,Person,North America,United States,California
260,Victoria C Stewart,1965-03-27,Married,FEMALE,2002-03-07,Person,North America,United States,Oregon
261,Katelyn L Kelly,1965-04-12,Married,FEMALE,2003-08-09,Person,North America,United States,California
262,Stephanie Collins,1965-04-24,Married,FEMALE,2002-03-30,Person,North America,United States,California
263,Jennifer Simmons,1964-05-04,Married,FEMALE,2003-08-31,Person,North America,Canada,British Columbia
264,Trinity Richardson,1964-09-11,Married,FEMALE,2002-03-01,Person,North America,United States,Washington
265,Eduardo Martin,1964-06-17,Single,Male,2003-07-06,Person,North America,United States,Washington
266,Elizabeth P Jones,1964-07-13,Married,FEMALE,2003-07-07,Person,North America,United States,Washington
267,Taylor Howard,1964-05-05,Single,FEMALE,2002-03-13,Person,North America,United States,Washington
268,David Diaz,1964-10-02,Single,Male,2002-03-20,Person,North America,United States,California
269,Katelyn A Carter,1964-05-03,Married,FEMALE,2003-11-30,Person,North America,United States,California
270,Ryan W Foster,1964-10-13,Married,Male,2004-02-23,Person,North America,United States,California
271,Robert L Lee,1964-05-04,Married,Male,2002-03-13,Person,North America,United States,California
272,Danielle C Reed,1964-06-05,Single,FEMALE,2002-03-30,Person,North America,United States,California
273,Lauren L Martinez,1956-11-10,Single,FEMALE,2002-03-22,Person,North America,United States,California
274,Nathan E Lal,1956-10-01,Married,Male,2003-11-15,Person,North America,United States,California
275,Kyle M Foster,1934-04-12,Married,Male,2002-03-01,Person,North America,United States,Washington
276,Jenny D Rai,1934-01-18,Married,FEMALE,2002-03-02,Person,North America,United States,California
277,Nancy E Chapman,1963-09-19,Married,FEMALE,2003-08-02,Person,North America,Canada,British Columbia
278,Charles P Jackson,1963-06-10,Married,Male,2003-08-06,Person,North America,Canada,British Columbia
279,Jonathan Phillips,1963-08-20,Single,Male,2002-03-19,Person,North America,United States,Washington
280,Amanda S Cook,1963-09-12,Married,FEMALE,2003-09-04,Person,North America,United States,Washington
281,Robert Collins,1963-08-21,Married,Male,2004-01-02,Person,North America,United States,Washington
282,Megan J Barnes,1963-10-10,Single,FEMALE,2002-03-16,Person,North America,United States,California
283,Christian A Thomas,1962-01-16,Married,Male,2002-03-03,Person,North America,United States,Washington
284,Arturo Lal,1962-10-26,Married,Male,2003-11-30,Person,North America,United States,California
285,Theresa Serrano,1962-03-27,Married,FEMALE,2003-08-10,Person,North America,United States,California
286,Jeremy J Anderson,1962-03-19,Married,Male,2004-01-28,Person,North America,United States,California
287,Hunter D Griffin,1962-03-03,Married,Male,2002-03-24,Person,North America,United States,California
288,Henry B Garcia,1961-01-16,Married,Male,2003-08-02,Person,North America,Canada,British Columbia
289,Cindy K Sanchez,1961-09-16,Married,FEMALE,2003-09-06,Person,North America,United States,California
290,Maria S Carter,1961-03-07,Married,FEMALE,2002-03-11,Person,North America,United States,California
291,Katelyn Sanchez,1961-08-18,Married,FEMALE,2002-03-23,Person,North America,United States,California
292,Jenna Wright,1961-05-05,Married,FEMALE,2002-03-07,Person,North America,United States,California
293,Seth Phillips,1961-11-05,Single,Male,2002-03-18,Person,North America,United States,California
294,Luke S Long,1955-05-27,Single,Male,2003-08-28,Person,North America,United States,Washington
295,Dalton P Clark,1955-09-03,Married,Male,2004-03-28,Person,North America,United States,Washington
296,Taylor G Lewis,1954-05-16,Single,FEMALE,2002-03-28,Person,North America,United States,California
297,Haley Richardson,1935-10-07,Single,FEMALE,2002-03-04,Person,North America,United States,Washington
298,Noah Coleman,1935-02-02,Single,Male,2002-03-29,Person,North America,United States,California
299,Jon Luo,1935-03-03,Married,Male,2002-03-15,Person,North America,United States,California
